Node Number,x,y,z,
Node1,13.17,2.5,0.98,
Node2,14.95,2.5,3.26,
Node3,11.16,2.5,3.26,
Node4,14.07,2.5,5.93,
Node5,8.45,2.5,3.97,
Node6,11.01,2.5,6.64,
Node7,6.25,2.5,4.32,
Node8,8.77,2.5,6.92,
Node9,3.89,2.5,4.48,
Node10,6.29,2.5,7.35,
Node11,1.46,2.5,3.34,
Node12,-0.51,2.5,4.68,
Node13,-3.1,2.5,4.79,
Node14,-0.9,2.5,7.51,
Node15,-5.3,2.5,3.77,
Node16,-5.07,2.5,7.7,
Node17,-9.7,2.5,4.92,
Node18,-8.45,2.5,6.72,
Node19,-6.91,2.5,2.28,
Node20,-9.62,2.5,1.22,
Node21,-11.67,2.5,-0.16,
Node22,-13.79,2.5,1.57,
Node23,-15.76,2.5,3.38,
Node24,-12.93,2.5,5.07,
